หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว็บไซต์,
SHR,บริษัท เอส โฮเทล แอนด์ รีสอร์ท จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,123 อาคารซันทาวเวอร์ส บี ชั้น 10 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร,10900,0-2617-6467,-,http://www.shotelsresorts.com,
SIAM,บริษัท สยามสตีลอินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,51 หมู่ 2 ถนนปู่เจ้าสมิงพราย ตำบลบางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ,10130,"0-2384-2876, 0-2384-3000, 0-2384-3040",0-2384-2330,http://www.siamsteel.com,
SICT,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),mai,เทคโนโลยี,-,40 ถนนเทศบาลรังสรรค์เหนือ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,10900,0-2589-9991,0-2589-8881,www.sic.co.th,
SIMAT,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),mai,เทคโนโลยี,-,เลขที่ 123/143-144 ถนนฉลองกรุง แขวงลําปลาทิว เขตลาดกระบัง กรุงเทพมหานคร,10520,0-2326-0999,0-2326-1666,www.simat.co.th,
SINGER,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SET,บริการ,พาณิชย์,"อาคาร กสท โทรคมนาคม ชั้น 17, 72 ถนนเจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพมหานคร",10500,0-2352-4777,0-2352-4799,www.singerthai.co.th,
SINO,บริษัท ไซโน โลจิสติกส์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 1011 อาคารศุภาลัย แกรนด์ ทาวเวอร์ ชั้น 7 ยูนิต 05 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,10120,0-2687-0477,0-2687-0486,www.sinologistics.co.th,
SIRI,บริษัท แสนสิริ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคาร สิริ แคมปัส เลขที่ 59 ซอยริมคลองพระโขนง แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2027-7888,0-2109-5479,http://www.sansiri.com,
SIRIPRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์สิริภิญโญ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 90 หมู่ที่ 1 ซอยสยามไซโล ถนนปู่เจ้าสมิงพราย ตำบลสำโรงกลาง อำเภอพระประแดง สมุทรปราการ,10130,0-2183-4567,-,-,
SIS,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 9 อาคารภคินท์ ชั้นที่ 9 ห้องเลขที่ 901 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2020-3000,0-2020-3780,www.sisthai.com,
SISB,บริษัท เอสไอเอสบี จำกัด (มหาชน),SET,บริการ,บริการเฉพาะกิจ,498/12 ซอยรามคำแหง 39 (เทพลีลา 1) แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร,10310,0-2158-9072,0-2158-9091,http://www.sisb.ac.th,
SITHAI,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,15 ถนนสุขสวัสดิ์ ซอย 36 แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร,10140,0-2427-0088,"0-2427-7168, 0-2428-4418",www.srithaisuperware.com,
SJWD,บริษัท เอสซีจี เจดับเบิ้ลยูดี โลจิสติกส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 36 ถนนกรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,10240,0-2710-4000,0-2710-4009,www.scgjwd.com,
SK,บริษัท ศิรกร จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,53/35 หมู่ที่ 8 ตำบลบางกร่าง อำเภอเมืองนนทบุรี นนทบุรี,11000,0-2035-7100-3,0-2035-7104-5,http://www.sirakorn.co.th,
SKE,บริษัท สากล เอนเนอยี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 15 หมู่ที่ 1 ตำบลเชียงรากน้อย อำเภอสามโคก ปทุมธานี,12160,0-2026-3451,0-2026-3452,www.sakolenergy.com,
SKIN,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,เลขที่ 89 หมู่บ้าน/อาคาร คอสโมออฟฟิศ พาร์ค ชั้น 8 ยูนิต P ถนน ถนนป๊อบปูล่า ตำบล/แขวง บ้านใหม่ อำเภอ/เขตปากเกร็ด นนทบุรี,11120,08-3597-9797,-,https://www.skinlabth.com,
SKN,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,99/9 หมู่ที่ 7 ตำบลห้วยยาง อำเภอแกลง ระยอง,21110,0-3892-8188,0-3892-8189,http://www.skn.co.th,
SKR,บริษัท ศิครินทร์ จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 976 ถนนลาซาล แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร,10260,-,-,http://www.sikarin.com,
SKY,บริษัท สกาย ไอซีที จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 55 อาคาร เอ.เอ.แคปปิตอล รัชดา ชั้นที่ 6-7 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2029-7888,0-2029-7879,www.skyict.co.th,
SLP,บริษัท สาลี่ พริ้นท์ติ้ง จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,เลขที่ 19 หมู่ที่ 10 ตำบลคลองสี่ อำเภอคลองหลวง ปทุมธานี,12120,0-2529-6000,0-2529-6010-11,www.saleeprinting.com,
SMART,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,11 หมู่ที่ 9 ถนนบ้านบึง-แกลง ตำบลหนองอิรุณ อำเภอบ้านบึง ชลบุรี,20220,0-3844-2500,0-3844-2521,www.smartblock.co.th,
SMD100,บริษัท เอสเอ็มดี ไรส์ จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,"222, 222/1-2 หมู่ที่ 1 อาคารเวสต์อิน คอมเพล็กซ์ ชั้น 10 ถนนรัตนาธิเบศร์ ตำบลบางรักใหญ่ อำเภอบางบัวทอง นนทบุรี",11110,"0-2527-8075-8, 0-2966-6467-8",0-2966-6471,www.smdrise.com,
SMIT,บริษัท สหมิตรเครื่องกล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"42,48 ซอยโชคชัยจงจำเริญ ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร",10120,"0-2295-1000-8, 0-2295-1901-9","0-2295-1009, 0-2295-1020",www.sahamit.co.th,
SMO,บริษัท กลุ่มสมอทอง จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,เลขที่ 119/1 หมู่ที่ 10 ตำบล/แขวง ประสงค์ อำเภอ/เขต ท่าชนะ สุราษฎร์ธานี,84170,0-7795-1470,0-7795-1471,www.smothonggroup.com,
SMPC,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,92 ซอยเทียนทะเล 7 แยก 4 ถนนบางขุนเทียน-ชายทะเล แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร,10150,"0-2895-4139-58, 0-2416-5568-9","0-2416-5534, 0-2895-4163",www.smpcplc.com,
SMT,บริษัท สตาร์ส ไมโครอิเล็กทรอนิกส์ (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,เลขที่ 586 หมู่ที่ 2 ตำบลคลองจิก อำเภอบางปะอิน พระนครศรีอยุธยา,13160,0-3525-8555,0-3522-1778,www.starsmicro.com,
SNC,บริษัท เอส เอ็น ซี ฟอร์เมอร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 333/3 หมู่ 6 ตำบลบางเพรียง อำเภอบางบ่อ สมุทรปราการ,10560,"0-2108-0360-61,0-2108-0370-72",-,http://www.sncformer.com,
SNNP,บริษัท ศรีนานาพร มาร์เก็ตติ้ง จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,325/6-9 ซอยหลานหลวง 7 ถนนหลานหลวง แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร,10300,0-2628-0408,0-2281-5161,https://www.snnp.co.th/,
SNP,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 2034/100-103 อาคารอิตัลไทย ทาวเวอร์ ชั้นที่ 23 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2785-4000,0-2785-4040,www.snpfood.com,
SNPS,บริษัท สเปเชี่ยลตี้ เนเชอรัล โปรดักส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,700/364 หมู่ที่ 6 ตำบลหนองไม้แดง อำเภอเมือง ชลบุรี,20000,0-3845-8698,0-3845-8697,www.snpspcl.com,
SO,บริษัท สยามราชธานี จำกัด (มหาชน),SET,บริการ,บริการเฉพาะกิจ,329 หมู่ 10 กุศลส่งสามัคคี ซอย 1 ถนนรถรางสายเก่า ตำบลสำโรง อำเภอพระประแดง สมุทรปราการ,10130,0-2363-9300,0-2363-9377,https://www.siamrajathanee.com/page-for-ir/,
SOLAR,บริษัท โซลาร์ตรอน จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"77/31,32,33 ซอยแจ้งวัฒนะ 15 แยก 2 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร",10210,0-2055-9101-3,0-2055-9104,http://www.solartron.co.th,
SONIC,บริษัท โซนิค อินเตอร์เฟรท จำกัด (มหาชน),mai,บริการ,-,79/349-350 ชั้น 1-2 ถนนสาธุประดิษฐ์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,10120,0-2213-2999,0-2213-2533,www.sonic.co.th,
SORKON,บริษัท ส. ขอนแก่นฟู้ดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,259/13 ซอยปรีดี พนมยงค์ 13 ถนนสุขุมวิท 71 (ปรีดี พนมยงค์) แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2391-1010,0-2391-1792,http://www.sorkon.co.th,
SPA,บริษัท สยามเวลเนสกรุ๊ป จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,"เลขที่ 565,567 อาคาร บี.ยู.เพลส ชั้น 22 ซอยสุทธิพร ถนนประชาสงเคราะห์ แขวงดินแดง เขตดินแดง กรุงเทพมหานคร",10400,0-2641-6619-20,0-2641-6621,http://www.siamwellnessgroup.com,
SPACK,บริษัท เอส. แพ็ค แอนด์ พริ้นท์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,119 หมู่ 1 ถนนกาญจนวนิช ตำบลท่าข้าม อำเภอหาดใหญ่ สงขลา,90110,0-7426-0602-9,"0-7426-0600-1,0-7444-7128",www.spack.co.th,
SPALI,บริษัท ศุภาลัย จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารศุภาลัยแกรนด์ทาวเวอร์ 1011 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,10120,0-2725-8888,0-2683-2177,http://www.supalai.com,
SPC,บริษัท สหพัฒนพิบูล จำกัด (มหาชน),SET,บริการ,พาณิชย์,2156 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2318-0062,0-2319-1678,www.sahapat.co.th,
SPCG,บริษัท เอสพีซีจี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 1 อาคารแคปปิตอล เวิร์ค เพลส ชั้น 10 ซอยแจ่มจันทร์ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2011-8100-10,0-2011-8112,www.spcg.co.th,
SPG,บริษัท สยามภัณฑ์กรุ๊ป จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,488 ถนนนครสวรรค์ แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร,10300,0-2280-0202-17,0-2280-6305,http://www.siampangroup.com,
SPI,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 989 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร,10120,0-2294-9999,-,www.spi.co.th,
SPRC,บริษัท สตาร์ ปิโตรเลียม รีไฟน์นิ่ง จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 1 ถนนไอ - สามบี ตำบลมาบตาพุด อำเภอเมืองระยอง ระยอง,21150,0-3869-9000,0-3869-9999,www.sprc.co.th,
SPREME,บริษัท สุพรีม ดิสทิบิวชั่น จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 2/1 ซอยประดิษฐ์มนูธรรม 5 ถนนประดิษฐ์มนูธรรม แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร,10230,0-2943-8182,0-2943-8191,www.supreme.co.th,
SPRIME,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ เอส ไพรม์ โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 123 อาคารซันทาวเวอร์ส บี ชั้น 37 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร,10900,"0-2617-6465,0-2050-5555-259",-,-,
SPVI,บริษัท เอส พี วี ไอ จำกัด (มหาชน),mai,เทคโนโลยี,-,"เลขที่ 2 อาคารพรีเมียร์เพลช ชั้น 1 โซน A, 3 โซน A, โซน B ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร",10250,0-2559-2901-10,0-2559-2488,http://www.spvi.co.th,
SQ,บริษัท สหกลอิควิปเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,เลขที่ 47/10 ซอยอมรพันธ์ 4 ถนนวิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร,10900,0-2941-0888,0-2941-0881,www.sahakol.com,
SR,บริษัท สยามราช จำกัด (มหาชน),mai,ทรัพยากร,-,289/9 ม.10 ถ.รถรางสายเก่า ตำบลสำโรง อำเภอพระประแดง สมุทรปราการ,10130,0-2743-5010-25,0-2743-5007-8,www.siamrajplc.com,
SRICHA,บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,เลขที่ 97 หมู่ที่ 3 ตำบลสุรศักดิ์ อำเภอศรีราชา ชลบุรี,20110,0-3831-7555,0-3831-7577,www.sricha.com,
SRIPANWA,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์โรงแรมศรีพันวา,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 2922/198 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 10 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2308-2022,0-2308-2022,www.cireit.com,
SRS,บริษัท สิริซอฟต์ จำกัด (มหาชน),mai,เทคโนโลยี,-,89 อาคารเอไอเอ แคปปิตอล เซ็นเตอร์ ชั้น 15 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,"0-2006-5397,0-2006-3098",-,https://www.sirisoft.co.th/,
SSF,บริษัท สุรพลฟู้ดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,247 หมู่ 1 ถนนเทพารักษ์ ตำบลเทพารักษ์ อำเภอเมือง สมุทรปราการ,10270,0-2385-3038-54,"0-2385-3176, 0-2385-3179",www.surapon.com,
SSP,บริษัท เสริมสร้าง พาวเวอร์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,325/14 ถนนหลานหลวง แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร,10300,0-2628-0991-2,0-2628-0993,www.sermsang.com,
SSPF,กองทุนรวมอสังหาริมทรัพย์ศาลาแอทสาทร,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,898 อาคารเพลินจิตทาวเวอร์ ชั้น 1 - 2 โซนเอ และชั้น 12 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,10330,0-2657-5757,-,-,
SSSC,บริษัท ศูนย์บริการเหล็กสยาม จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,51/3 หมู่ 2 ถนนปู่เจ้าสมิงพราย ตำบลบางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ,10130,"0-2385-9251-2, 0-2385-9258-66, 0-2754-5845-9","0-2385-9241, 0-2385-9253",http://www.ssscth.com,
SST,บริษัท ทรัพย์ศรีไทย จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 206 อาคารพลาซ่า ชั้น 4 ซอยพัฒนาการ 20 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2318-5514-5,-,http://www.subsrithai.co.th,
SSTRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ทรัพย์ศรีไทย,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 206 อาคารพลาซ่า ชั้น 4 ซอยพัฒนาการ 20 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร,10250,0-2318-5514-5,-,www.sstrm.co.th,
STA,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,10 ซอย 10 ถนนเพชรเกษม ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา,90110,0-7434-4663,"0-7434-4676, 0-7434-4677, 0-7423-7423",www.sritranggroup.com,
STANLY,บริษัท ไทยสแตนเลย์การไฟฟ้า จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,29/3 หมู่ 1 ถนนบางพูน-รังสิต ตำบลบ้านกลาง อำเภอเมือง ปทุมธานี,12000,0-2581-5462,0-2581-5397,www.thaistanley.com,
STARM,บริษัท สตาร์ มันนี่ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,เลขที่ 204/1-8 ถนนสุขุมวิท ตำบลทางเกวียน อำเภอแกลง ระยอง,21110,06-1393-9988,-,www.starmoney.co.th,
STC,บริษัท เอสทีซี คอนกรีตโปรดัคท์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,220/26 หมู่ที่ 6 ถนนสุขุมวิท ตำบลนาเกลือ อำเภอบางละมุง ชลบุรี,20150,0-3842-3115-6,0-3842-6519,http://www.stc.co.th/,
STECH,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,50 ซอยงามวงศ์วาน 47 แยก 20 (ชินเขต 2/18) ถนนงามวงศ์วาน แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร,10210,0-2589-3888,0-2589-8911,www.stec.co.th,
STECON,บริษัท สเตคอน กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,32/59-32/60 อาคารซิโน-ไทย ทาวเวอร์ ชั้นที่ 29 - 30 ถนนสุขุมวิท 21 (ซอยอโศก) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2260-1321,-,https://www.stecongroup.co.th,
STELLA,บริษัท สเตลล่า เอ็กซ์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 2922/209 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 13 (12 เอ) ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร,10310,0-2030-1399,-,www.nusasiri.com,
STGT,บริษัท ศรีตรังโกลฟส์ (ประเทศไทย) จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,เลขที่ 110 ถนนกาญจนวนิช ตำบลพะตง อำเภอหาดใหญ่ สงขลา,90230,0-2207-4500,0-2108-2241-44,www.sritranggloves.com,
STI,บริษัท สโตนเฮ้นจ์ อินเตอร์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,163 ซอยโชคชัยร่วมมิตร (รัชดา 19) แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,10400,0-2690-7462,0-2690-7463,www.sti.co.th,
STOWER,บริษัท สกาย ทาวเวอร์ จำกัด (มหาชน),mai,ทรัพยากร,-,เลขที่ 247 ถนนร่มเกล้า แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร,10510,0-2543-9020-8,0-2543-9029,www.skytower.co.th,
STP,บริษัท สหไทยการพิมพ์และบรรจุภัณฑ์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,200/1 ซอยจรัญสนิทวงศ์ 42 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร,10700,0-2423-0051-2,0-2424-7027,http://sahathaiprinting.com,
STPI,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,32/24 อาคารซิโน-ไทย ทาวเวอร์ ชั้น 3 ถ.สุขุมวิท 21 (อโศก) แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2260 -1181,0-2260 -1182,www.stpi.co.th,
STX,บริษัท สโตนวัน จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,29 อาคารบางกอก บิสซิเนส เซ็นเตอร์ ชั้น 14 ถนนสุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร,10110,0-2391-9301,0-2391-9302,https://www.stoneone.co.th,
SUC,บริษัท สหยูเนี่ยน จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,1828 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร,10260,0-2311-5111-9,0-2311-6867,www.sahaunion.co.th,
SUN,บริษัท ซันสวีท จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,9 หมู่ที่ 1 ตำบลทุ่งสะโตก อำเภอสันป่าตอง เชียงใหม่,50120,0-5310-6538-40,0-5310-6541,www.sunsweetthai.com,
SUPER,บริษัท ซุปเปอร์ เอนเนอร์ยี คอร์เปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,223/61 อาคารคันทรี่ คอมเพล็กซ์ อาคารเอ ชั้น 14 ถนนสรรพาวุธ แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร,10260,0-2361-5599,0-2361-5036,www.supercorp.co.th,
SUPEREIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า ซุปเปอร์ เอนเนอร์ยี,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร,10120,0-2674-6488,0-2679-5996,http://www.supereif.com,
SUSCO,บริษัท ซัสโก้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,139 ถนนราษฎร์บูรณะ แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร,10140,0-2428-0029,"0-2427-6270, 0-2427-6460",www.susco.co.th,
SUTHA,บริษัท สุธากัญจน์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,89 อาคารคอสโม ออฟฟิต พาร์ค ชั้น 6 ยูนิตเอช ถนนป๊อบปูล่า ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี,11120,0-2017-7461-3,0-2017-7460,www.goldenlime.co.th,
SVI,บริษัท เอสวีไอ จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,เลขที่ 141-142 หมู่ที่ 5 ถนนติวานนท์ ตำบลบางกะดี อำเภอเมือง ปทุมธานี,12000,0-2105-0456,0-2105-0466,www.svi.co.th,
SVOA,บริษัท เอสวีโอเอ จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 1023 อาคารเอ็ม เอส สยามทาวเวอร์ ชั้น 31 ถนนพระราม 3 แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,10120,0-2686-3000,0-2682-6300,www.svoa.co.th,
SVR,บริษัท สิวารมณ์ เรียลเอสเตท จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 662/45 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร,10120,02-295-3361,-,www.sivarom.co.th,
